timestamp,safe_gas,propose_gas,fast_gas
2025-06-18 15:28:30,2.109973172,2.119973172,2.159973172
2025-06-18 15:29:31,1.980376777,2.017244857,2.059376777
2025-06-18 15:30:32,2.014339691,2.064339689,2.34777806
2025-06-18 15:31:32,2.02235414,2.072354138,2.439073323
2025-06-18 15:32:33,2.025166984,2.104166984,2.339213634
2025-06-18 15:33:34,1.994454328,2.008657154,2.083454326
2025-06-18 15:34:35,1.861682611,1.861682611,2.047850872
2025-06-18 15:35:35,1.690952506,1.740952506,1.915047756
2025-06-18 15:36:36,1.684746042,1.734746042,2.215921728
2025-06-18 15:37:37,1.673078342,1.723078342,1.923810733
2025-06-18 15:38:38,1.452331069,1.49030301,1.639333311
2025-06-18 15:39:38,1.713599476,1.733599476,1.939959423
2025-06-18 15:40:39,1.618155809,1.618255809,1.923327463
2025-06-18 15:41:40,1.67142852,1.67947806,1.77142852
2025-06-18 15:42:40,1.725598332,1.764670537,1.872280066
2025-06-18 15:43:41,1.69431676,1.717111055,1.967696205
2025-06-18 15:44:42,2.120351462,2.143145759,2.633103999
2025-06-18 15:45:43,1.98837058,1.988370583,2.108370579
2025-06-18 15:46:43,1.966463743,2.018494421,2.104463741
2025-06-18 15:47:44,2.05676828,2.056768282,2.141972822
2025-06-18 15:48:45,1.903056306,1.953056306,2.148361936
2025-06-18 15:49:46,1.934135545,1.970141733,2.134135545
2025-06-18 15:50:46,1.955216806,2.005216806,2.455216806
2025-06-18 15:51:47,1.849874091,1.899874089,2.263477126
2025-06-18 15:52:48,1.697753677,1.776753677,1.954429044
2025-06-18 15:53:48,1.587159792,1.656555165,1.687159792
2025-06-18 15:54:49,1.682311128,1.732311128,2.122102594
2025-06-18 15:55:50,1.434134345,1.488066945,1.636873639
2025-06-18 15:56:51,1.789117795,1.809117795,2.061615866
2025-06-18 15:57:51,1.741333821,1.804939844,2.272509507
2025-06-18 15:58:52,1.765284048,1.815284048,1.865284048
2025-06-18 15:59:53,1.726434104,1.732790301,2.077225001
2025-06-18 16:00:54,1.735433454,1.784285013,2.12072817
2025-06-18 16:01:54,1.880668876,1.885118213,1.980668876
2025-06-18 16:02:55,1.736047408,1.786047406,1.964652146
2025-06-18 16:03:56,1.753091945,1.803091945,2.062607122
2025-06-18 16:04:57,1.739182933,1.739182936,1.833182933
2025-06-18 16:05:57,1.92879796,1.928797963,2.02279796
2025-06-18 16:06:58,1.7938942,1.844071504,1.893894198
2025-06-18 16:07:59,1.753105181,1.803282485,1.832105179
2025-06-18 16:09:00,1.817910213,1.858699232,1.939183673
2025-06-18 16:10:00,1.716012969,1.793650774,1.885819856
2025-06-18 16:11:01,1.73397777,1.798566423,2.152600533
2025-06-18 16:12:02,1.574979647,1.576162843,1.733779127
2025-06-18 16:13:03,1.621733056,1.665297537,2.08892168
2025-06-18 16:14:04,1.555204758,1.56781018,1.87307094
2025-06-18 16:15:04,1.580365892,1.654504752,2.069709624
2025-06-18 16:16:05,1.58538762,1.664387618,2.085387618
2025-06-18 16:17:06,2.02005118,2.09905118,2.781910028
2025-06-18 16:18:06,1.889897676,1.949897676,2.030791992
2025-06-18 16:19:07,1.91962907,1.99862907,2.739242546
2025-06-18 16:20:08,1.879347182,1.958347182,1.995047182
2025-06-18 16:21:09,1.808772551,1.897772551,1.912127144
2025-06-18 16:22:09,1.898829624,1.948829624,1.998829624
2025-06-18 16:23:10,1.797616132,1.858834916,2.297616132
2025-06-18 16:24:11,1.612789596,1.662789594,1.829068553
2025-06-18 16:25:11,1.68042189,1.700421888,2.050999137
2025-06-18 16:26:12,1.574892108,1.584892106,1.848289373
2025-06-18 16:27:13,1.565799088,1.575799086,1.733378994
2025-06-18 16:28:14,1.399583381,1.40064874,1.540713614
2025-06-18 16:29:14,1.530748041,1.540748039,1.694822842
2025-06-18 16:30:15,1.369089886,1.379089884,1.516998872
2025-06-18 16:31:16,1.428998389,1.438998389,1.579273145
2025-06-18 16:32:17,1.541802924,1.584905752,1.69207768
2025-06-18 16:33:17,1.599210435,1.609210433,1.770131476
2025-06-18 16:34:18,1.546765348,1.54676535,1.646765348
2025-06-18 16:35:19,1.747761104,1.777186439,2.472537214
2025-06-18 16:36:19,1.614892341,1.618701317,1.780571448
2025-06-18 16:37:20,1.525315462,1.53471546,1.646371955
2025-06-18 16:38:21,1.389804781,1.423332798,1.565666077
2025-06-18 16:39:22,1.592804896,1.642804896,1.838985385
2025-06-18 16:40:22,1.367641246,1.446641244,1.591305368
2025-06-18 16:41:23,1.502378189,1.581378189,1.801974126
2025-06-18 16:42:24,1.456589684,1.507157372,1.611094056
2025-06-18 16:43:24,1.52864457,1.607644569,1.696818126
